Vorname_Nachname;Nachname;Vorname;Geschlecht;Fraktion
Nicole Maisch;Maisch;Nicole;f;BÜNDNIS 90/DIE GRÜNEN
Thomas de Maizière;de Maizière;Thomas;m;CDU/CSU
Caren Marks;Marks;Caren;f;SPD
Hans-Georg von der Marwitz;von der Marwitz;Hans-Georg;m;CDU/CSU
Katja Mast;Mast;Katja;f;SPD
Andreas Mattfeldt;Mattfeldt;Andreas;m;CDU/CSU
Hilde Mattheis;Mattheis;Hilde;f;SPD
Ulrich Maurer;Maurer;Ulrich;m;DIE LINKE
Stephan Mayer;Mayer;Stephan;m;CDU/CSU
Horst Meierhofer;Meierhofer;Horst;m;FDP
Patrick Meinhardt;Meinhardt;Patrick;m;FDP
Michael Meister;Meister;Michael;m;CDU/CSU
Dorothée Menzner;Menzner;Dorothée;f;DIE LINKE
Angela Merkel;Merkel;Angela;f;CDU/CSU
Petra Merkel;Merkel;Petra;f;SPD
Ullrich Meßmer;Meßmer;Ullrich;m;SPD
Maria Michalk;Michalk;Maria;f;CDU/CSU
Hans Michelbach;Michelbach;Hans;m;CDU/CSU
Mathias Middelberg;Middelberg;Mathias;m;CDU/CSU
Matthias Miersch;Miersch;Matthias;m;SPD
Philipp Mißfelder;Mißfelder;Philipp;m;CDU/CSU
Cornelia Möhring;Möhring;Cornelia;f;DIE LINKE
Gabriele Molitor;Molitor;Gabriele;f;FDP
Kornelia Möller;Möller;Kornelia;f;DIE LINKE
Dietrich Monstadt;Monstadt;Dietrich;f;CDU/CSU
Jerzy Montag;Montag;Jerzy;m;BÜNDNIS 90/DIE GRÜNEN
Marlene Mortler;Mortler;Marlene;f;CDU/CSU
Niema Movassat;Movassat;Niema;m;DIE LINKE
Jan Mücke;Mücke;Jan;m;FDP
Gerd Müller;Müller;Gerd;m;CDU/CSU
Kerstin Müller;Müller;Kerstin;f;BÜNDNIS 90/DIE GRÜNEN
Petra Müller;Müller;Petra;f;FDP
Stefan Müller;Müller;Stefan;m;CDU/CSU
Beate Müller-Gemmeke;Müller-Gemmeke;Beate;f;BÜNDNIS 90/DIE GRÜNEN
Burkhardt Müller-Sönksen;Müller-Sönksen;Burkhardt;m;FDP
Franz Müntefering;Müntefering;Franz;m;SPD
